Trial no,Scaling_Method,Accuracy,Precision,F1,Recall
100,No Scaling,0.850815532655429,0.8429824911371353,0.8411977828332626,0.850815532655429
100,MaxAbsScaler,0.8364157510407425,0.8264751913451022,0.8219205387026444,0.8364157510407425
100,StandardScaler,0.8428990650378761,0.8337430970015411,0.8324678656999523,0.8428990650378761
100,MinMaxScaler,0.8365522418617348,0.8267755432010482,0.8216804503397228,0.8365522418617348
100,RobustScaler,0.8387360949976114,0.8288812017568734,0.8282233247842583,0.8387360949976114
100,QuantileTransformer (Uniform),0.836688732682727,0.8268070283098554,0.8222473913575574,0.836688732682727
100,QuantileTransformer (Normal),0.8442639732477991,0.8371148003011504,0.8290893731533935,0.8442639732477991
200,No Scaling,0.8506790418344367,0.8429969134766632,0.8401541263268072,0.8506790418344367
200,MaxAbsScaler,0.8362792602197502,0.8266406289660477,0.8208358553660846,0.8362792602197502
200,StandardScaler,0.8432402920903569,0.834143492983457,0.8327937151770777,0.8432402920903569
200,MinMaxScaler,0.836688732682727,0.8269803182126588,0.8217390827758562,0.836688732682727
200,RobustScaler,0.839486794513069,0.8297270570093883,0.8285159818047833,0.839486794513069
200,QuantileTransformer (Uniform),0.8362792602197502,0.8266155478957803,0.8208970549325914,0.8362792602197502
200,QuantileTransformer (Normal),0.845628881457722,0.8375177112248623,0.8329305472147668,0.845628881457722
300,No Scaling,0.8516344775813827,0.8439820336753764,0.8439886719939581,0.8516344775813827
300,MaxAbsScaler,0.8360062785777657,0.8262688864655198,0.8205984255952552,0.8360062785777657
300,StandardScaler,0.8430355558588685,0.8339202320952376,0.833116304047874,0.8430355558588685
300,MinMaxScaler,0.8365522418617348,0.8267648726280713,0.8217105128235039,0.8365522418617348
300,RobustScaler,0.8394185491025729,0.8296614932838914,0.8287432688652354,0.8394185491025729
300,QuantileTransformer (Uniform),0.8360745239882618,0.8263372774595248,0.8207189662465657,0.8360745239882618
300,QuantileTransformer (Normal),0.8463113355626835,0.8383431458229753,0.8336961814047367,0.8463113355626835
400,No Scaling,0.8525899133283287,0.845004021555623,0.8445968085142055,0.8525899133283287
400,MaxAbsScaler,0.8365522418617348,0.8269748869465408,0.8211651495276073,0.8365522418617348
400,StandardScaler,0.843786255374326,0.8347980135709439,0.8340011015816611,0.843786255374326
400,MinMaxScaler,0.8364839964512386,0.8266950074738266,0.8215909475609475,0.8364839964512386
400,RobustScaler,0.8401692486180304,0.8305309347897646,0.8291927983573502,0.8401692486180304
400,QuantileTransformer (Uniform),0.8363475056302464,0.8267337633487404,0.8208952271407289,0.8363475056302464
400,QuantileTransformer (Normal),0.8456971268682181,0.8377129646943882,0.8327452384079655,0.8456971268682181
500,No Scaling,0.8527946495598171,0.8452172152928223,0.8445562750255043,0.8527946495598171
500,MaxAbsScaler,0.8365522418617348,0.8270006046782884,0.8211039958935766,0.8365522418617348
500,StandardScaler,0.8445369548897836,0.8356876398327775,0.8350559207442545,0.8445369548897836
500,MinMaxScaler,0.8367569780932232,0.8270170385436347,0.8219488420512725,0.8367569780932232
500,RobustScaler,0.840442230260015,0.8308639628411632,0.8298736815297697,0.840442230260015
500,QuantileTransformer (Uniform),0.8364157510407425,0.8268399189328131,0.820923960139248,0.8364157510407425
500,QuantileTransformer (Normal),0.8456971268682181,0.8376070174037039,0.8329908218496427,0.8456971268682181
600,No Scaling,0.8512250051184058,0.8434219940594763,0.8428193929079464,0.8512250051184058
600,MaxAbsScaler,0.8360745239882618,0.826424869524399,0.8205043025631438,0.8360745239882618
600,StandardScaler,0.8434450283218453,0.8343845752167994,0.8332769097349444,0.8434450283218453
600,MinMaxScaler,0.8364839964512386,0.82667376136095,0.821651097639987,0.8364839964512386
600,RobustScaler,0.8407152119019996,0.8311805045744448,0.8300874678703856,0.8407152119019996
600,QuantileTransformer (Uniform),0.8364839964512386,0.826894531649719,0.8210751951804635,0.8364839964512386
600,QuantileTransformer (Normal),0.8454923906367297,0.8373954944187135,0.8326738345939626,0.8454923906367297
